origin,destination,lng_lat_distance,baidu_map_distance,duration,toll
北京,上海,1070.161321,1210.605,51398,540
北京,天津,112.04555729999998,139.275,7473,52
北京,重庆,1464.531024,1759.407,77874,842
北京,合肥,901.1160898,1029.449,41687,416
北京,安庆,1047.2497449999996,1195.283,47663,494
北京,蚌埠,784.0183667,894.441,36281,360
北京,亳州,676.6204856,751.184,33410,293
北京,巢湖,935.9325401,1060.739,42284,432
北京,池州,1036.719961,1189.715,48045,487
北京,滁州,864.9349966,963.214,38866,405
北京,阜阳,784.1260512,857.321,37545,339
北京,淮北,665.5032444,769.88,32253,304
北京,淮南,813.1215926,939.176,38011,375
北京,黄山,1148.051099,1313.79,53141,523
北京,六安,910.0266807,1008.459,42923,408
北京,马鞍山,937.102123,1059.074,43629,487
北京,宿州,702.5444837,801.999,32954,324
北京,铜陵,1008.912499,1163.865,47110,508
北京,芜湖,970.0777918,1106.563,44291,509
北京,宣城,1021.94218,1169.509,47213,535
北京,福州,1569.268857,1876.344,79154,825
北京,龙岩,1654.258522,1914.703,80803,841
北京,南平,1488.245863,1747.594,74156,800
北京,宁德,1506.025657,1809.493,77550,874
北京,莆田,1631.311332,1973.21,80068,878
北京,泉州,1685.564709,1983.143,84148,916
北京,三明,1524.918858,1779.042,75635,798
北京,厦门,1726.271016,2036.706,82867,944
北京,漳州,1719.9352420000002,2027.803,84539,908
北京,兰州,1182.5471189999996,1437.459,62090,584
北京,白银,1132.103038,1370.78,58458,567
北京,定西,1141.853572,1515.423,65529,593
北京,甘南州,1309.833207,1664.14,73183,679
北京,嘉峪关,1545.108938,1960.987,80922,773
北京,金昌,1232.251428,1598.74,67315,645
北京,酒泉,1526.589667,1940.536,79977,766
北京,临夏州,1254.52999,1573.613,69644,629
北京,陇南,1253.975475,1550.264,66768,693
北京,平凉,982.9694604,1326.5,57052,585
北京,庆阳,899.9112620999997,1166.52,50186,528
北京,天水,1115.017221,1400.442,60685,643
北京,武威,1210.432059,1503.736,63884,610
北京,张掖,1372.712975,1736.309,72887,692
北京,广州,1893.727274,2121.804,85871,916
北京,潮州,1811.098699,2100.207,89514,905
北京,东莞,1896.12693,2145.372,86877,1008
北京,佛山,1905.657926,2136.963,86668,926
北京,河源,1807.251845,1984.822,80170,924
北京,惠州,1881.305932,2069.108,84153,959
北京,江门,1957.148373,2197.017,88736,963
北京,揭阳,1823.635082,2077.458,88624,894
北京,茂名,2097.807857,2376.562,95142,1155
北京,梅州,1739.5959510000002,1974.159,83759,848
北京,清远,1834.14253,2051.906,83555,803
北京,汕头,1842.167202,2122.048,90034,918
北京,汕尾,1911.70352,2206.64,90173,1010
北京,韶关,1704.143105,1911.859,77991,791
北京,深圳,1948.057748,2162.138,87968,1005
北京,阳江,2053.334149,2331.27,93891,1019
北京,云浮,1935.341233,2188.254,87573,1057
北京,湛江,2156.017117000001,2460.974,98553,1179
北京,肇庆,1911.785904,2169.665,87662,1057
北京,中山,1955.521238,2199.58,89793,950
北京,珠海,1985.501642,2245.299,92135,975
北京,南宁,2053.383459,2334.505,95607,1078
北京,百色,2005.541199,2404.517,100237,1320
北京,北海,2167.34543,2460.57,98729,1153
北京,崇左,2128.349245,2463.368,98033,1149
北京,防城港,2176.436014,2455.438,97991,1135
北京,桂林,1729.944009,1947.8,79516,900
北京,贵港,1978.97296,2264.144,91006,1058
北京,河池,1865.413317,2199.227,88351,1053
北京,贺州,1786.026032,2042.886,81590,977
北京,来宾,1923.515035,2163.076,86718,999
北京,柳州,1855.32187,2102.49,84944,969
北京,钦州,2129.430657,2397.126,95320,1120
北京,梧州,1892.09184,2147.726,86784,1039
北京,玉林,2012.43198,2306.396,91980,1177
北京,贵阳,1730.8065829999994,2076.661,86394,1088
北京,安顺,1807.887148,2169.964,90207,1147
北京,毕节地区,1738.6286120000002,2136.727,93779,1075
北京,六盘水,1829.214032,2257.93,98435,1175
北京,铜仁地区,1511.5140279999994,1762.709,73991,835
北京,遵义,1616.282037,1984.366,86874,979
北京,黔西南州,1968.736835,2378.557,99299,1309
北京,黔东南州,1677.330007,1976.277,82053,948
北京,黔南州,1729.436823,2049.805,85468,986
北京,海口,2290.479096,2657.974,111296,1052
北京,白沙,2402.299924,2792.905,118433,1247
北京,保亭,2461.263941,2885.42,119584,1052
